,Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
2356,1982,83%,Fewer than 50 Ratings,95%,1982,"History, Drama",Arabic,Oualid Mouaness,"Oualid Mouaness, Alix Madigan, Georges Schoucair, Myriam Sassine, Christopher Tricarico",Oualid Mouaness,"Jun 10, 2022  Limited",,$43.8K,1h 40m,Tricycle Logic,"""1982"" is a life-affirming coming-of-age tale set at an idyllic school in Lebanon's mountains on the eve of a looming invasion. It unfolds over a single day and follows an 11-year-old boy's relentless quest to profess his love to a girl in his class. As the invasion encroaches on Beirut, it upends the day, threatening the entire country and its cohesion. Within the microcosm of the school, the film draws a harrowing portrait of a society torn between its desire for love and peace and the ideological schisms unraveling its seams. In his debut feature, director Oualid Mouaness delivers an ode to innocence in which he revisits one of the most cataclysmic moments in Lebanon's history through the lens of a child and his vibrant imagination. The film demonstrates the complexities of love and war, and the resilience of the human spirit. ""1982"" stars Mohamad Dalli (in his acting debut) and Lebanese superstar Nadine Labaki (Capernaum, Where Do We Go Now, Caramel) alongside an extraordinary ensemble cast of professional and non-professional actors. ""1982"" is the first film from Lebanon to address the polemic and politically sensitive 1982 Lebanon War."
2357,PLEASE BABY PLEASE,60%,Fewer than 50 Ratings,71%,PLEASE BABY PLEASE,"Musical, Drama, Mystery & Thriller",English,Amanda Kramer,"Gül Karakiz, Rob Paris, Mike Witherill","Amanda Kramer, Noel David Taylor","Oct 28, 2022  Limited",,$22.3K,1h 35m,Music Box Films,"Big issues, packaged in flamboyantly witty dialogue, are addressed amidst hyper-stylized decors with a theatrical 1950s feel (think a rather dark, campy twist on West Side Story (1961) as directed by John Waters). How should one be a 'real' man or woman? And, what does the institution of marriage have to do with it? Suze and Arthur are the ideal Lower East Side bohemian couple. He earns a modest living as a clarinetist, she is a stylish housewife, dutifully doing the washing up. One evening, they witness a murder, committed by a rough gang of greasers in leather jackets, on the sidewalk in front of their house. This introduction to the intimidating Young Gents arouses previously unsuspected emotions and feelings of sexuality in both Arthur and Suze."
2358,THE AUTOMAT,86%,Fewer than 50 Verified Ratings,98%,THE AUTOMAT,Documentary,English,Lisa Hurwitz,"Lisa Hurwitz, Alec Shuldiner, Russell Greene","Michael Levine, Michael Levine","Feb 18, 2022  Limited",,$257.4K,1h 59m,A Slice of Pie Productions,"Before fast food we had something better. Our grandparents told us stories of gathering around communal tables, sharing their lives, their struggles, and their dreams with strangers at The Automat. In the long awaited Horn & Hardart documentary relive the phenomena of America's original and most beloved restaurant chain. The one hundred year Automat saga serves up never before-seen archival footage and photographs and a cast including celebrity customers, company executives, historians, and members of the Horn & Hardart families."
2359,BRAINWASHED: SEX-CAMERA-POWER,--,Fewer than 50 Ratings,74%,BRAINWASHED: SEX-CAMERA-POWER,Documentary,English,Nina Menkes,Nina Menkes,,"Oct 21, 2022  Limited","Dec 6, 2022",$23.0K,1h 47m,Kino Lorber,"Brainwashed is based on director Nina Menkes's cinematic presentation, Sex and Power, the Visual Language of Cinema, that uses film clips by A-list directors from 1896 to the present, to show how the visual grammar of cinema contributes to conditions that create discriminatory hiring practice, pay inequity and a pervasive environment of sexual harassment in the film industry and beyond."
2360,GLASS ONION: A KNIVES OUT MYSTERY,93%,500+ Verified Ratings,93%,GLASS ONION: A KNIVES OUT MYSTERY,"Mystery & Thriller, Comedy, Drama",English,Rian Johnson,"Rian Johnson, Ram Bergman",Rian Johnson,"Nov 23, 2022  Wide","Dec 23, 2022",,2h 20m,Netflix,"Benoit Blanc returns to peel back the layers in a new Rian Johnson whodunit. This fresh adventure finds the intrepid detective at a lavish private estate on a Greek island, but how and why he comes to be there is only the first of many puzzles. Blanc soon meets a distinctly disparate group of friends gathering at the invitation of billionaire Miles Bron for their yearly reunion. Among those on the guest list are Miles' former business partner Andi Brand, current Connecticut governor Claire Debella, cutting-edge scientist Lionel Toussaint, fashion designer and former model Birdie Jay and her conscientious assistant Peg, and influencer Duke Cody and his sidekick girlfriend Whiskey. As in all the best murder mysteries, each character harbors their own secrets, lies and motivations. When someone turns up dead, everyone is a suspect."
2361,LADY CHATTERLEY'S LOVER,85%,50+ Ratings,85%,LADY CHATTERLEY'S LOVER,"Romance, Drama",English,Laure de Clermont-Tonnerre,"Graham Broadbent, Peter Czernin, Elizabeth Gabler, Laurence Mark",,"Nov 23, 2022  Limited","Dec 2, 2022",,2h 6m,Netflix,"Marrying Sir Clifford Chatterley, Connie's life of wealth and privilege seems set as she takes the title of Lady Chatterley. Yet this idealistic union gradually becomes an incarceration when Clifford returns from the First World War with injuries that have left him unable to walk. When she meets and falls for Oliver Mellors, the gamekeeper on the Chatterley family estate, their secret trysts lead her to a sensual, sexual awakening. But as their affair becomes the subject of local gossip, Connie faces a life-altering decision: follow her heart or return to her husband and endure what Edwardian society expects of her."
2362,WHITE NOISE,63%,Fewer than 50 Ratings,67%,WHITE NOISE,"Comedy, Drama, Horror",English,Noah Baumbach,"Noah Baumbach, David Heyman, Uri Singer",Noah Baumbach,"Nov 25, 2022  Limited","Dec 30, 2022",,2h 16m,Netflix,"At once hilarious and horrifying, lyrical and absurd, ordinary and apocalyptic, White Noise dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
2363,NANNY,60%,Fewer than 50 Ratings,88%,NANNY,"Horror, Mystery & Thriller",English,Nikyatu Jusu,"Nikkia Moulterie, Daniela Taplin Lundberg",Nikyatu Jusu,"Nov 23, 2022  Limited","Dec 16, 2022",,1h 38m,Amazon Studios,"In this psychological horror fable of displacement, Aisha (Anna Diop), a woman who recently emigrated from Senegal, is hired to care for the daughter of an affluent couple (Michelle Monaghan and Morgan Spector) living in New York City. Haunted by the absence of the young son she left behind, Aisha hopes her new job will afford her the chance to bring him to the U.S., but becomes increasingly unsettled by the family's volatile home life. As his arrival approaches, a violent presence begins to invade both her dreams and her reality, threatening the American dream she is painstakingly piecing together."
2364,THE SON,75%,Fewer than 50 Ratings,42%,THE SON,Drama,English,Florian Zeller,"Iain Canning, Joanna Laurie, Karl Hartman, Emile Sherman, Christophe Spadone, Florian Zeller","Christopher Hampton, Florian Zeller","Nov 25, 2022  Limited",,,2h 4m,Sony Pictures Classics,"A cautionary tale that follows a family as it struggles to reunite after falling apart. THE SON centers on Peter (Hugh Jackman), whose hectic life with his infant and new partner Beth (Vanessa Kirby) is upended when his ex-wife Kate (Laura Dern) appears at his door to discuss their son Nicholas (Zen McGrath), who is now a teenager. The young man has been missing school for months and is deeply troubled. Peter strives to take care of Nicholas as he would have wanted his own father (Anthony Hopkins) to have taken care of him while juggling his and Beth's new son, and at work an offer of a dream position in Washington. However, by reaching for the past to correct its mistakes, he loses sight of how to hold onto Nicholas in the present."
2365,BHEDIYA,89%,50+ Ratings,67%,BHEDIYA,"Comedy, Horror",Hindi,Amar Kaushik,Dinesh Vijan,Niren Bhatt,"Nov 25, 2022  Limited",,,2h 25m,Trident AV Technologies,"Set in the forests of Arunachal, Bhediya is the story of Bhaskar, a man who gets bitten by a wolf and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns and laughs ensue."
2366,BATTLE FOR SAIPAN,--,Fewer than 50 Ratings,--,BATTLE FOR SAIPAN,"War, History, Drama, Action",English,Brandon Slagle,Daemon Hillin,Brandon Slagle,"Nov 25, 2022  Limited","Nov 25, 2022",,1h 34m,Saban Films,"Casper Van Dien (Alita: Battle Angel) and Louis Mandylor (Rambo: Last Blood) star in this edge-of-your-seat WWII epic. On July 7th, 1944, a US Army hospital on the remote island of Saipan is overrun by Japanese forces during a relentless attack. Outgunned and surrounded by the enemy, a lone medic (Van Dien) puts it all on the line to lead a band of wounded warriors to safety."
2367,THE KING OF LAUGHTER,--,Fewer than 50 Ratings,83%,THE KING OF LAUGHTER,"Biography, Drama",Italian,Mario Martone,,"Mario Martone, Ippolita Di Majo, Mario Martone, Ippolita Di Majo","Nov 25, 2022  Limited","Nov 25, 2022",,2h 13m,Film Movement,"Naples, 1904: Eduardo Scarpetta risked everything by staging a parody of the great Italian poet, Gabriele D'Annunzio. Despite legal troubles and familial strife, Scarpetta fought for his legacy as one of the greats of Italian theater."
2368,MOST GUYS ARE LOSERS,--,Fewer than 50 Ratings,--,MOST GUYS ARE LOSERS,"Holiday, Romance, Comedy",English,Eric Ustian,"Lene Amalfi, Anthony Clementi",Eric Ustian,"Nov 25, 2022  Limited","Nov 25, 2022",,1h 31m,Gravitas Ventures,"Sandy's new boyfriend, Bo, meets all the criteria for a good partner (and she knows it)! However, when she brings him home for the holidays, her dad, Mark, thinks he knows better. Bar owner Mark Berzins has seen decades of relationships-gone-wrong, and is determined to poke some holes in this one. A well-intentioned investigation into the new boyfriend leads to awkward misunderstandings, spilled secrets, and heartwarming moments."
2369,AN INCONVENIENT LOVE,--,Fewer than 50 Ratings,--,AN INCONVENIENT LOVE,"Romance, Comedy",English,Petersen Vargas,,"Daisy Cayanan, Enrico Santos","Nov 25, 2022  Limited",,,2h 4m,Star Cinema,"Ayef dreams of being an animator and has no time for love. When she meets Manny, they agree to a convenient relationship that will end the month she's set to leave for Singapore."
2370,TICH BUTTON,86%,Fewer than 50 Ratings,--,TICH BUTTON,"Romance, Comedy, Adventure",Urdu,Qasim Ali Mureed,"Urwa Hocane, Mohammad Jerjees Seja",,"Nov 25, 2022  Limited",,,2h 25m,ARY Films,"Kaka helps Saqib when he refuses to marry his cousin Shakeela, but the refusal leads to complications and a wealth of lies. Leena from Turkey enters the picture and love is in the air."
2371,USERS,--,0 Ratings,45%,USERS,Documentary,English,Natalia Almada,"Josh Penn, Elizabeth Lodge Stepp, Natalia Almada",,"Nov 25, 2022  Limited",,,1h 21m,Icarus Films,"A mother wonders: Will my children grow to love their perfect machines more than they love me? Intimate in scope and epic in scale, director Natalia Almada embarks on a cinematic journey into an invisible realm, where it is taken for granted that technological progress will always inspire social progress, and that ever-smarter machines will make humankind ever better. Constructed from stunning, immaculately rendered images and featuring a score performed by the Kronos Quartet, Users is an immersive journey into the heart of our changing relationship to the natural world."
2372,FREEDOM ON FIRE: UKRAINE'S FIGHT FOR FREEDOM,--,Fewer than 50 Ratings,--,FREEDOM ON FIRE: UKRAINE'S FIGHT FOR FREEDOM,,Ukrainian,Evgeny Afineevsky,"Evgeny Afineevsky, Will Znidaric, Galyna Sadomtseva-Nabaranchuk, Shahida Tulaganova, Inna Goncharova, Alex Kashpur",,"Nov 25, 2022  Limited",,,1h 58m,MakeMake Entertainment,"Genre: Documentary, War"
2373,PADACHONE INGALU KATHOLI,--,Fewer than 50 Ratings,--,PADACHONE INGALU KATHOLI,Comedy,Malayalam,Bijith Bala,"Josekutty Madathil, Ranjith Manambarakkat",,"Nov 25, 2022  Limited",,,2h 30m,Tiny Hands Production,"Dineshan, Grace, Giri, KK and Gund Saji are involved in left-wing politics. When Dineshan falls for a girl, she makes him consider all the occurrences happening at home and pushes him to take action."
2374,PATTATHU ARASAN,--,0 Ratings,--,PATTATHU ARASAN,Drama,Tamil,A. Sarkunam,A. Subaskaran,A. Sarkunam,"Nov 25, 2022  Limited",,,2h 35m,Lyca Productions,"Former kabaddi player Poththaari, widely regarded as one of the sport's greatest, has two wives and the family lives happily together. Even though he has many heirs with one of his wives and just one with the other, the properties should be split equally between the women according to the law."
2375,IT'S CHRISTMAS AGAIN,--,Fewer than 50 Ratings,--,IT'S CHRISTMAS AGAIN,"Kids & Family, Holiday, Romance, Drama, Musical",English,Sandra L. Martin,,Sandra L. Martin,"Nov 29, 2022  Limited",,,1h 45m,Fathom Events,"Jake Young (Lawson Touliatos) wants nothing more than to spend his Christmas vacation with his girlfriend, Abbey Walker (Leela Owen). So when Abbey volunteers for her church's Christmas play, Jake is ready to skip Christmas this year until an unexpected turn of events lands him in a field outside Bethlehem on the night Jesus was born. While on his journey with the shepherds to find the promised Messiah, Jake discovers the true meaning of Christmas. Coming this Christmas season, IT'S CHRISTMAS AGAIN is a modern-day musical the whole family will love!"
2376,EVANGELION:3.0+1.01 THRICE UPON A TIME,--,500+ Ratings,100%,EVANGELION:3.0+1.01 THRICE UPON A TIME,"Sci-Fi, Action, Anime, Drama",Japanese,"Hideaki Anno, Mahiro Maeda, Katsuichi Nakayama, Kazuya Tsurumaki",,Hideaki Anno,"Nov 30, 2022  Limited","Aug 13, 2021",,2h 34m,GKIDS / Fathom Events,"From legendary director Hideaki Anno, EVANGELION:3.0+1.01 THRICE UPON A TIME is the fourth and final installment of the REBUILD OF EVANGELION films, bringing an epic conclusion to the story of Shinji and his fellow Eva pilots, with the stunning visuals and thought-provoking storytelling that has made EVANGELION a global pop culture phenomenon. Misato and her anti-NERV group Wille arrive at Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower. They only have 720 seconds to restore the city. When a horde of NERV Evas appear, Mari's improved Eva Unit 8 must intercept. Meanwhile, Shinji, Asuka, and Rei (Provisional Name) wander about Japan."
